,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),,He/She is a <adj> <occupation>. / O <adj> bir <occupation>.,,,,1461,1455,1439,1487,1507
51-4032,51,4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Drill Press Operator for Metal,7,Metal Matkap Tezgahı Operatörü ,That's a metal drill counter operator.,That's a very good metal drill counter operator.,That's a good metal drill counter operator.,That's a bad metal drill counter operator.,That's a terrible metal drill counter operator.,that,that,that,that,that
51-4032,51,4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Reaming Machine Operator for Plastic,7,Rayba Makinesi Operatörü,He's a rail operator.,He's a very good rail operator.,He's a good rail operator.,He's a bad rail operator.,He's a very bad rail operator.,he,he,he,he,he
51-4034,51,4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Engine Lathe Operator,7,Üniversal Torna Tezgahı Operatörü,He's a universal set-up operator.,He's a very good universal council operator.,He's a good universal set-up operator.,He's a bad universal set-up operator.,He's a terrible universal run-in operator.,he,he,he,he,he
51-4035,51,4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Metal Milling Machine Operator,7,Metal Freze Tezgahı Operatörü,He's a metal plaza counter operator.,He's a very good metal plating operator.,He's a good metal plating operator.,He's a bad metal plating operator.,He's a very bad metal plating operator.,he,he,he,he,he
51-4035,51,4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Plastic Thread Milling Machine Setup Operator,8,Taş Planya Makinesi Operatörü,He's a stone planner operator.,He's a very good stone planning machine operator.,He's a good stone planning machine operator.,He's a bad stone planner operator.,He's a terrible stone-planning operator.,he,he,he,he,he
51-4051,51,4051,Metal-Refining Furnace Operators and Tenders,Electric Arc Furnace Operator,3,Ark Ocağı Operatörü,He's an arc quarry operator.,He's a very good arc operator.,He's a good arc quarry operator.,He's a bad arc operator.,He's a very bad arc operator.,he,he,he,he,he
51-4051,51,4051,Metal-Refining Furnace Operators and Tenders,Smelter Operator,3,izabe Teknisyeni,He's a traitor.,He's a very good tracker.,He's a good authority technician.,He's a bad isolation technician.,He's a terrible isolation technician.,he,he,he,he,he
51-4052,51,4052,"Pourers and Casters, Metal",Ingot Caster,8,ingot Dökümcüsü,He's an ingot fox.,He's a very good ingot fox.,He's a good ingot fox.,He's a bad ingot fox.,He's a terrible ingothist.,he,he,he,he,he
51-4052,51,4052,"Pourers and Casters, Metal",Tin Pourer,8,Metal Dökümcüsü,He's a metal foundry.,He's a very good metal foundry.,He's a good metal fox.,He's a bad metal fox.,He's a terrible metal foundry.,he,he,he,he,he
51-4052,51,4052,"Pourers and Casters, Metal",White Metal Caster,7,Metal Dökücü,He's a metal breaker.,He's a very good metal molder.,He's a good metal molder.,He's a bad metal breaker.,He's a very bad metal breaker.,he,he,he,he,he
51-4072,51,4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Aluminum Molding Machine Operator,7,Makine ile Maça Yapıcı,He's a machinery maker.,He's a very good machine maker to spades.,He is a game maker with a good machine.,He's a game maker with a bad machine.,He's a machinist with a very bad machine.,he,he,he,he,he
51-4072,51,4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Blow Mold Operator,8,Pres Döküm Makinesi Operatörü,It's a pres disposal machine operator.,That's a very good pres disposal machine operator.,That's a good pres disposal machine operator.,That's a bad press discharge.,He's a very bad spray dispenser.,it,that,that,that,he
51-4072,51,4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Compression Molding Machine Operator,8,Basınçlı Döküm Makinesi Operatörü,It's a pressure locker operator.,That's a very good pressure molding machine operator.,That's a good pressure molding machine operator.,That's a bad pressure molding machine operator.,That's a very bad pressure molding machine operator.,it,that,that,that,that
51-4111,51,4111,Tool and Die Makers,Metal Gauge Maker,7,Mastar Yapıcı,He's a decorator.,He's a very good mastar maker.,He's a good mastar maker.,He's a bad mastar maker.,He's a terrible mastar maker.,he,he,he,he,he
51-4121,51,4121,"Welders, Cutters, Solderers, and Brazers",Aluminum Welder,7,Alüminyum Kaynakçısı,He's an aluminum welder.,He's a very good aluminum welder.,He's a good aluminum welder.,He's a bad aluminum welder.,He's a terrible aluminum welder.,he,he,he,he,he
51-4121,51,4121,"Welders, Cutters, Solderers, and Brazers",Arc Welder,7,Ark Kaynakçısı,He's an arc welder.,He is a very good arc welder.,He is a good arc welder.,He is a bad arc welder.,He's a very bad arc maker.,he,he,he,he,he
51-4121,51,4121,"Welders, Cutters, Solderers, and Brazers",Brazer,7,Pirinç Kaynakçısı,He is a rice welder.,He is a very good rice welder.,He is a good rice welder.,He is a bad rice welder.,He's a very bad rice welder.,he,he,he,he,he
51-4121,51,4121,"Welders, Cutters, Solderers, and Brazers",Pipe Welder,7,Boru Kaynakçısı,He's a pipe welder.,He's a very good pipe player.,He's a good pipe player.,He's a bad pipe player.,He's a terrible pipe player.,he,he,he,he,he
51-4121,51,4121,"Welders, Cutters, Solderers, and Brazers",Silver Solderer,7,Gümüş Kaynakçısı,He's a silver welder.,He's a very good silver welder.,He's a good silver welder.,He's a bad silver welder.,He's a terrible silver welder.,he,he,he,he,he
51-4121,51,4121,"Welders, Cutters, Solderers, and Brazers",Sub Arc Operator,7,Toz Altı Kaynak Operatörü,It's a subpoena supply operator.,That's a very good underwater supply operator.,That's a good underwater supply operator.,That's a bad underwater supply operator.,That's a very bad underwater supply operator.,it,that,that,that,that
51-4122,51,4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Ultrasonic Welding Machine Operator,8,Ultrasonik Kaynak Makinesi Operatörü,It's an ultrasonic welder operator.,He's a very good ultrasonic welder operator.,That's a good ultrasonic welder operator.,He's a bad ultrasonic welder operator.,He's a very bad ultrasonic welder operator.,it,he,that,he,he
51-4122,51,4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Welding Machine Operator,7,Kaynak Operatörü,He's a resource operator.,He's a very good resource operator.,He's a good resource operator.,He's a bad resource operator.,He's a terrible resource operator.,he,he,he,he,he
51-4191,51,4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Heat Treater Apprentice,3,Isıl işlem Teknisyeni,He's a red processing technician.,He's a very good business technician.,He's a good business technician.,He's a bad business technician.,He's a very bad business technician.,he,he,he,he,he
51-4193,51,4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Anodizer,8,Eloksal Kaplama işçisi,He's an elocoholic coating worker.,He's a very good elogical plating worker.,He's a good elocoholic coating worker.,He's a bad elocosal overlay worker.,He's a very bad elocosal overlay worker.,he,he,he,he,he
51-4193,51,4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Chrome Plater,8,Krom Kaplama işçisi,He's a chromium-plating worker.,He's a very good chromium-plating worker.,He's a good chromium-plating worker.,He's a bad chromium-plating worker.,He's a very bad chromium-plating worker.,he,he,he,he,he
51-4193,51,4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Galvanizer,8,Galvanizci ,He's a galvanist.,He's a very good galvanist.,He's a good galvanist.,He's a bad galvanist.,He's a terrible galvanist.,he,he,he,he,he
51-4193,51,4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Metal Plater,8,Metal Kaplamacı,He's a metal plaster.,He's a very good metal plaster.,She's a good metal plaster.,He's a bad metal plaster.,He's a very bad metal plaster.,he,he,she,he,he
51-4193,51,4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Metal Spraying Machine Operator,8,Metal Püskürtücü,He's a metal spray.,He's a very good metal spray.,He's a good metal spray.,He's a bad metal spray.,He's a terrible metal spray.,he,he,he,he,he
51-4194,51,4194,"Tool Grinders, Filers, and Sharpeners",Tool Sharpener,7,Alet Bilemecisi,He's a tool sharpener.,He's a very good tool sharpener.,He's a good tool sharpener.,He's a bad tool sharpener.,He's a terrible tool sharecropper.,he,he,he,he,he
51-4199,51,4199,"Metal Workers and Plastic Workers, All Other",Electrical Discharge Machine Setup Operator,8,Elektro Erozyon Tezgah işçisi,He's an electroerotic counterfeiter.,He's a very good electroerotic counterfeiter.,He's a good electroerotic counterfeiter.,He's a bad electro erosion counter worker.,He's a terrible electroerotic loom contractor.,he,he,he,he,he
51-4199,51,4199,"Metal Workers and Plastic Workers, All Other",Metal Rivet Machine Operator,7,Metal inşaat Makine Perçincisi,He's a metal construction machine player.,He's a very good metal construction machine player.,He's a good metal construction machine player.,He's a bad metal construction machine player.,He's a terrible metal construction machine player.,he,he,he,he,he
51-5111,51,5111,Prepress Technicians and Workers,Photoengraver,7,Fotogravürcü,He's a photographer.,He's a very good photographer.,He's a good photographer.,He's a bad photographer.,He's a terrible photographer.,he,he,he,he,he
51-5111,51,5111,Prepress Technicians and Workers,Prepress Stripper,3,Baskı Öncesi Operatörü,He's a prepress operator.,That's a very good prepress operator.,That's a good prepress operator.,He's a bad prepress operator.,He's a very bad prepress operator.,he,that,that,he,he
51-5111,51,5111,Prepress Technicians and Workers,Type Setter,7,Dizgici,He's a typesetter.,He's a very good typist.,He's a good typist.,He's a bad typesetter.,He's a terrible typist.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Digital Press Operator,7,Dijital Baskı Operatörü,It's a digital printing operator.,He's a very good digital printing operator.,He's a good digital printing operator.,He's a bad digital printing operator.,He's a terrible digital printing operator.,it,he,he,he,he
51-5112,51,5112,Printing Press Operators,Flexographic Press Operator,7,Flekso Baskı Makinesi Operatörü,He's a flexus printing press operator.,He's a very good flecso printing press operator.,He's a good flexist printing press.,He's a bad flecso printing press operator.,He's a terrible flecso printing press operator.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Gravure Press Operator,7,Tifdruk Baskı Operatörü,He's a typhoid printing operator.,He's a very good typist.,He's a good typist.,He's a bad typhoid.,He's a very bad typhoid.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Lithograph Press Operator,7,Direkt Litografik Baskıcı,He's a direct lithographic supplier.,He's a very good direct lithographic supplier.,He's a good direct lithographic supplier.,He's a bad direct lithographic supplier.,He's a terrible direct lithographic supplier.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Offset Press Operator,7,Ofset Baskı Operatörü,He's an offset printing operator.,He's a very good offset printing operator.,He's a good offset printing operator.,He's a bad offset printing operator.,He's a terrible offset print operator.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Screen Printing Machine Operator,7,Serigraf Baskı Makinesi Operatörü,He's a serigraphic printing press operator.,He's a very good photographic printing press operator.,He's a good photographic printing press operator.,He's a bad photographic printing press operator.,He's a terrible serigraphic printing press operator.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Screen Printing Press Operator,7,Serigrafi Baskı Operatörü,He's a serigraphic printing operator.,He's a very good photographic printing operator.,He's a good cerigraphic printing operator.,He's a bad cerigraphic printing operator.,He's a very bad photographic printing operator.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Silk Screen Printer,7,ipek Ekran Baskıcı,He's a silk screen supplier.,He's a very good silk screen supplier.,He's a good silk screen supplier.,He's a bad silk screen supplier.,He's a terrible silk screen suppressor.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Web Offset Press Feeder,7,Web Ofset Baskı Yardımcısı,He's a web offset deputy.,He's a very good web offset deputy.,He's a good web offset deputy.,He's a bad web offset deputy.,He's a terrible web offset deputy.,he,he,he,he,he
51-5112,51,5112,Printing Press Operators,Web Press Operator,7,Web Ofset Baskı Operatörü,It's a web offset printing operator.,That's a very good web offset printing operator.,That's a good web offset printing operator.,He's a bad web offset printing operator.,That's a very bad web offset printing operator.,it,that,that,he,that
51-5113,51,5113,Print Binding and Finishing Workers,Bindery Folder Operator,7,Ciltcilik Katlama Makinesi Operatörü,He's a skin folding machine operator.,He's a very good skin folding machine operator.,He's a good binder folding machine operator.,He's a bad polyglot folding machine operator.,He's a very bad polymerization-folding machine operator.,he,he,he,he,he
51-5113,51,5113,Print Binding and Finishing Workers,Bindery Worker,7,Mücellit ,He's a miracle worker.,He's a very good ordained.,He's a good ordained.,He's a bad scholar.,He's a terrible ordeal.,he,he,he,he,he
