Source: https://www.bls.gov/soc/2018/home.htm - Direct match tile file,,,,
U.S. Bureau of Labor Statistics,,,,
On behalf of the Office of Management and Budget (OMB) and the Standard Occupational Classification Policy Committee (SOCPC),,,,
,,,,
"November 2017 (Updated April 15, 2020)",,,,
,,,,
***Questions should be emailed to soc@bls.gov***,,,,
,,,,
2018 SOC Code,2018 SOC Title,2018 SOC Direct Match Title,Illustrative Example,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",Quality Control Inspector,,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",Quality Inspector,,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",Spark Plug Tester,,
51-9071,Jewelers and Precious Stone and Metal Workers,Diamond Grader,,
51-9071,Jewelers and Precious Stone and Metal Workers,Diamond Polisher,,
51-9071,Jewelers and Precious Stone and Metal Workers,Diamond Setter,x,
51-9071,Jewelers and Precious Stone and Metal Workers,Facetor,,
51-9071,Jewelers and Precious Stone and Metal Workers,Gem Cutter,,
51-9071,Jewelers and Precious Stone and Metal Workers,Gemologist,x,
51-9071,Jewelers and Precious Stone and Metal Workers,Goldsmith,x,
51-9071,Jewelers and Precious Stone and Metal Workers,Jewelry Repairer,,
51-9071,Jewelers and Precious Stone and Metal Workers,Jewelsmith,,
51-9071,Jewelers and Precious Stone and Metal Workers,Lapidarist,,
51-9071,Jewelers and Precious Stone and Metal Workers,Pewterer,,
51-9071,Jewelers and Precious Stone and Metal Workers,Silversmith,,
51-9081,Dental Laboratory Technicians,Crown and Bridge Dental Lab Technician,,
51-9081,Dental Laboratory Technicians,Crown and Bridge Technician,x,
51-9081,Dental Laboratory Technicians,Crown Ceramist,,
51-9081,Dental Laboratory Technicians,Dental Ceramist,x,
51-9081,Dental Laboratory Technicians,Dental Laboratory Worker,,
51-9081,Dental Laboratory Technicians,Dental Mold Maker,,
51-9081,Dental Laboratory Technicians,Dental Technician,,
51-9081,Dental Laboratory Technicians,Orthodontic Technician,x,
51-9082,Medical Appliance Technicians,Arch-Support Maker,,
51-9082,Medical Appliance Technicians,Brace Maker,x,
51-9082,Medical Appliance Technicians,Hearing Aid Repair Technician,,
51-9082,Medical Appliance Technicians,Manufacturing Orthopedic Technologist,x,
51-9082,Medical Appliance Technicians,Orthotic Fabricator Technician,,
51-9082,Medical Appliance Technicians,Orthotic Finish Grinding Technician,,
51-9082,Medical Appliance Technicians,Orthotics Fitter,,
51-9082,Medical Appliance Technicians,Orthotics Technician,x,
51-9082,Medical Appliance Technicians,Prosthetics Fabrication Technician,,
51-9082,Medical Appliance Technicians,Prosthetics Lab Technician,,
51-9082,Medical Appliance Technicians,Prosthetics Technician,x,
51-9082,Medical Appliance Technicians,Surgical Appliance Fitter,,
51-9083,Ophthalmic Laboratory Technicians,Contact Lens Cutter,,
51-9083,Ophthalmic Laboratory Technicians,Contact Lens Technician,,
51-9083,Ophthalmic Laboratory Technicians,Eyeglass Assembler,,
51-9083,Ophthalmic Laboratory Technicians,Eyeglass Lens Cutter,,
51-9083,Ophthalmic Laboratory Technicians,Eyeglass Maker,x,
51-9083,Ophthalmic Laboratory Technicians,Lens Grinder,x,
51-9083,Ophthalmic Laboratory Technicians,Lens Grinder and Polisher,,
51-9083,Ophthalmic Laboratory Technicians,Lens Mounter,,
51-9083,Ophthalmic Laboratory Technicians,Precision Lens Centerer and Edger,x,
51-9083,Ophthalmic Laboratory Technicians,Prescription Eyeglass Maker,,
51-9111,Packaging and Filling Machine Operators and Tenders,Bottle Capper,x,
51-9111,Packaging and Filling Machine Operators and Tenders,Bottle Line Worker,,
51-9111,Packaging and Filling Machine Operators and Tenders,Bottle Packer,,
51-9111,Packaging and Filling Machine Operators and Tenders,Can Filler,,
51-9111,Packaging and Filling Machine Operators and Tenders,Can Sealer,,
51-9111,Packaging and Filling Machine Operators and Tenders,Keg Filler,x,
51-9111,Packaging and Filling Machine Operators and Tenders,Potato Chip Packaging Machine Operator,x,
51-9111,Packaging and Filling Machine Operators and Tenders,Tea Bag Packer,,
51-9123,"Painting, Coating, and Decorating Workers",Ceramic Painter,x,
51-9123,"Painting, Coating, and Decorating Workers",China Decorator,x,
51-9123,"Painting, Coating, and Decorating Workers",Glass Decorator,,
51-9123,"Painting, Coating, and Decorating Workers",Lacquerer,,
51-9123,"Painting, Coating, and Decorating Workers",Sign Painter,x,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Aircraft Painter,,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Auto Body Painter,,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Auto Painter,x,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Automobile Body Painter,,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Automobile Refinisher,,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Automotive Paint Technician,,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Automotive Refinish Technician,,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Automotive Spray Painter,,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Boat Painter,,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Electrostatic Paint Operator,x,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Lacquer Spray Booth Operator,x,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Paint Line Operator,,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Railroad Car Painter,x,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Spraying Machine Operator,,
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Tactical Vehicle Painter,,
51-9141,Semiconductor Processing Technicians,Electronic Semiconductor Processor,x,
51-9141,Semiconductor Processing Technicians,Semiconductor Assembler,x,
51-9141,Semiconductor Processing Technicians,Wafer Fabricator,x,
51-9151,Photographic Process Workers and Processing Machine Operators,Digital Imaging Technician,,
51-9151,Photographic Process Workers and Processing Machine Operators,Digital Photo Printer,x,
51-9151,Photographic Process Workers and Processing Machine Operators,Digital Photo Technician,,
51-9151,Photographic Process Workers and Processing Machine Operators,Digital Retoucher,,
51-9151,Photographic Process Workers and Processing Machine Operators,Film Developing Machine Operator,,
51-9151,Photographic Process Workers and Processing Machine Operators,Film Printer,,
51-9151,Photographic Process Workers and Processing Machine Operators,Film Process Operator,,
51-9151,Photographic Process Workers and Processing Machine Operators,Film Processor,,
51-9151,Photographic Process Workers and Processing Machine Operators,Photo Lab Specialist,x,
51-9151,Photographic Process Workers and Processing Machine Operators,Photo Lab Technician,,
51-9151,Photographic Process Workers and Processing Machine Operators,Photo Machine Operator,,
51-9151,Photographic Process Workers and Processing Machine Operators,Photo Print Specialist,,
51-9151,Photographic Process Workers and Processing Machine Operators,Photo Retoucher,x,
51-9151,Photographic Process Workers and Processing Machine Operators,Print Retoucher,,
51-9161,Computer Numerically Controlled Tool Operators,CNC Machine Operator,,
51-9161,Computer Numerically Controlled Tool Operators,CNC Operator,,
51-9161,Computer Numerically Controlled Tool Operators,Computer Numerically Controlled (CNC) Machinist,x,
51-9161,Computer Numerically Controlled Tool Operators,Computer Numerically Controlled (CNC) Milling Machine Operator,x,
51-9161,Computer Numerically Controlled Tool Operators,Computer Numerically Controlled (CNC) Shot Peening Operator,x,
51-9161,Computer Numerically Controlled Tool Operators,Jig Boring Machine Operator,x,
51-9161,Computer Numerically Controlled Tool Operators,Numerical Control Machine Operator,,
51-9161,Computer Numerically Controlled Tool Operators,Welding Robot Operator,x,
51-9162,Computer Numerically Controlled Tool Programmers,Computer Numerically Controlled (CNC) Programmer,x,
51-9162,Computer Numerically Controlled Tool Programmers,Numerical Control Programmer,x,
51-9162,Computer Numerically Controlled Tool Programmers,Numerical Tool and Process Control Programmer,,
51-9162,Computer Numerically Controlled Tool Programmers,Numerical Tool Programmer,x,
51-9191,Adhesive Bonding Machine Operators and Tenders,Glue Line Operator,x,
51-9191,Adhesive Bonding Machine Operators and Tenders,Glue Machine Operator,,
51-9191,Adhesive Bonding Machine Operators and Tenders,Glue Reel Operator,x,
51-9191,Adhesive Bonding Machine Operators and Tenders,Paper Gluing Operator,x,
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Acid Dipper,x,
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Bottle Washing Machine Operator,,
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Degreaser Operator,x,
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Glass Cleaning Machine Tender,,
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Immersion Metal Cleaner,x,
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Metal Pickling Equipment Operator,,
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Pickle House Operator,,
51-9193,Cooling and Freezing Equipment Operators and Tenders,Ammonia Refrigeration Worker,,
51-9193,Cooling and Freezing Equipment Operators and Tenders,Chiller Operator,,
51-9193,Cooling and Freezing Equipment Operators and Tenders,Chiller Tender,x,
51-9193,Cooling and Freezing Equipment Operators and Tenders,Freezer Operator,,
51-9193,Cooling and Freezing Equipment Operators and Tenders,Refrigerating Machine Operator,x,
51-9193,Cooling and Freezing Equipment Operators and Tenders,Refrigeration Operator,,
51-9194,Etchers and Engravers,Engraver,,
51-9194,Etchers and Engravers,Glass Etcher,x,
51-9194,Etchers and Engravers,Laser Engraver,,
51-9194,Etchers and Engravers,Machine Engraver,,
51-9194,Etchers and Engravers,Metal Engraver,x,
51-9194,Etchers and Engravers,Pantograph Engraver,,
51-9194,Etchers and Engravers,Rotary Engraver,,
51-9194,Etchers and Engravers,Rubber Engraver,,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Burial Vault Maker,,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Cigar Roller,x,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Clay Modeler,,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Concrete Vault Maker,,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Glass Bender,,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Glass Block Bender,,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Glass Blower,x,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Glass Presser,,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Glass Tube Bender,,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Mannequin Mold Maker,,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Neon Glass Bender,,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Neon Glass Blower,,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Neon Molder,,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Neon Tube Bender,x,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Rubber Molder,,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Stone Carver,,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",Box Fabricator,x,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",Carton Making Machine Operator,x,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",Corrugated Box Machine Operator,,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",Corrugator Machine Operator,,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",Corrugator Operator,x,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",Envelope Machine Operator,,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",Napkin Machine Operator,,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",Paper Bag Machine Operator,,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",Paper Cone Machine Tender,,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",Paper Machine Operator,,
51-9197,Tire Builders,Auto Tire Recapper,x,
51-9197,Tire Builders,Retreader,x,
51-9197,Tire Builders,Tire Finisher,,
51-9197,Tire Builders,Tire Molder,x,
51-9197,Tire Builders,Tire Retreader,,
51-9198,Helpers--Production Workers,Blending Tank Helper,x,
51-9198,Helpers--Production Workers,Commercial Baker Helper,x,
51-9198,Helpers--Production Workers,Machinist Helper,,
51-9198,Helpers--Production Workers,Slitter Helper,,
51-9198,Helpers--Production Workers,Tailor Helper,,
51-9198,Helpers--Production Workers,Welder Helper,x,
51-9198,Helpers--Production Workers,Woodworker Helper,,
53-1041,Aircraft Cargo Handling Supervisors,Air Cargo Ground Crew Supervisor,x,
53-1041,Aircraft Cargo Handling Supervisors,Air Cargo Ground Operations Supervisor,x,
53-1041,Aircraft Cargo Handling Supervisors,Air Cargo Supervisor,,
53-1041,Aircraft Cargo Handling Supervisors,Aircraft Loadmaster,,
53-1041,Aircraft Cargo Handling Supervisors,Airport Ramp Supervisor,x,
53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Material Handling Crew Supervisor,x,
53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Warehouse Supervisor,x,
53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Crane Crew Supervisor,x,
53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Truck Driver Supervisor,x,
53-1044,First-line Supervisors of Passenger Attendants,Chief Ship Steward,x,
53-1044,First-line Supervisors of Passenger Attendants,Flight Service Manager,x,
53-1049,"First Line Supervisors of Transportation Workers, All Other",Gas Station Supervisor,x,
53-2011,"Airline Pilots, Copilots, and Flight Engineers",Airline Captain,x,
53-2011,"Airline Pilots, Copilots, and Flight Engineers",Airline Pilot,,
53-2011,"Airline Pilots, Copilots, and Flight Engineers",Airline Pilot Flight Instructor,,
53-2011,"Airline Pilots, Copilots, and Flight Engineers",Airline Pilot In Command,x,
53-2011,"Airline Pilots, Copilots, and Flight Engineers",Airline Pilot Second In Command,,
53-2011,"Airline Pilots, Copilots, and Flight Engineers",Airline Transport Pilot,,
53-2011,"Airline Pilots, Copilots, and Flight Engineers",Charter Pilot (Air Transport Pilot Certificate Required),x,
53-2011,"Airline Pilots, Copilots, and Flight Engineers",Charter Pilot (Airline),x,
53-2011,"Airline Pilots, Copilots, and Flight Engineers",Regional Airline Pilot,,
53-2012,Commercial Pilots,Aerial Crop Duster,x,
53-2012,Commercial Pilots,Aerial Hurricane Hunter,,
53-2012,Commercial Pilots,Aerial Sprayer,,
53-2012,Commercial Pilots,Agricultural Pilot,,
53-2012,Commercial Pilots,Air Ambulance Captain,,
53-2012,Commercial Pilots,Air Tour Pilot,,
53-2012,Commercial Pilots,Balloon Pilot,,
53-2012,Commercial Pilots,Charter Pilot (Commercial Pilot Certificate Required),x,
53-2012,Commercial Pilots,Charter Pilot (Commercial),,
53-2012,Commercial Pilots,Commercial Helicopter Pilot,,
53-2012,Commercial Pilots,Corporate Pilot,,
53-2012,Commercial Pilots,Emergency Medical Service Helicopter Pilot,,
53-2012,Commercial Pilots,Emergency Medical Service Rotary Wing Pilot,,
53-2012,Commercial Pilots,EMS Helicopter Pilot,,
53-2012,Commercial Pilots,Executive Pilot,,
53-2012,Commercial Pilots,Flight Instructor (Commercial Pilots),x,
53-2012,Commercial Pilots,Helicopter Pilot,x,
53-2021,Air Traffic Controllers,Air Traffic Control Operator,x,
53-2021,Air Traffic Controllers,Air Traffic Control Specialist,,
53-2021,Air Traffic Controllers,Air Traffic Coordinator,,
53-2021,Air Traffic Controllers,Airport Tower Controller,,
53-2021,Air Traffic Controllers,Control Tower Operator,x,
53-2021,Air Traffic Controllers,Enroute Controller,x,
53-2022,Airfield Operations Specialists,Aviation Operations Specialist,x,
53-2022,Airfield Operations Specialists,Flight Operations Coordinator,x,
53-2031,Flight Attendants,Airline Flight Attendant,x,
53-2031,Flight Attendants,Airplane Flight Attendant,x,
